,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
30,12:35,False,302,18,0,True,TPAYAN+DejaVuSans-Bold,False,438,57,5,10,0.20628686
31,03,False,365,18,6,True,TPAYAN+DejaVuSans-Bold,False,438,25,8,10,0.793215
32,июля,False,397,18,9,True,TPAYAN+DejaVuSans-Bold,False,438,54,13,10,-0.029767646
33,2023,False,458,18,14,True,TPAYAN+DejaVuSans-Bold,False,438,50,18,10,-0.43338433
34,а/пЧита,False,302,18,0,False,JGUTVO+DejaVuSans,True,461,80,7,10,0.18087593
35,CHI,False,388,18,8,False,JGUTVO+DejaVuSans,True,461,31,11,10,-0.12713657
36,Терминал,False,302,18,0,False,JGUTVO+DejaVuSans,True,483,92,8,10,0.0582532
37,2,False,401,18,9,False,JGUTVO+DejaVuSans,True,483,11,10,10,-0.22257006
38,ПРИБЫТИЕ,False,739,18,0,False,TEYLKT+DejaVuSans,True,394,101,8,10,-0.31172508
39,Махачкала,False,739,18,0,False,TEYLKT+DejaVuSans,True,416,103,9,10,0.61921114
40,14:00,False,739,18,0,True,TPAYAN+DejaVuSans-Bold,False,439,57,5,10,0.81695455
41,03,False,803,18,6,True,ZRQZTP+DejaVuSans-Bold,False,439,25,8,10,0.793215
42,июля,False,834,18,9,True,TPAYAN+DejaVuSans-Bold,False,439,54,13,10,-0.029767646
43,2023,False,895,18,14,True,TPAYAN+DejaVuSans-Bold,False,439,50,18,10,-0.43338433
44,а/пМахачкала,False,739,18,0,False,JGUTVO+DejaVuSans,True,461,137,12,10,-0.27907577
45,MCH,False,882,18,13,False,JGUTVO+DejaVuSans,True,461,41,16,10,-0.0047427136
46,Терминал,False,739,18,0,False,JGUTVO+DejaVuSans,True,484,92,8,10,0.0582532
47,A,False,838,18,9,False,JGUTVO+DejaVuSans,True,484,12,10,10,-0.18180664
48,ВПУТИ,False,590,18,0,False,TEYLKT+DejaVuSans,True,393,66,5,10,0.8442697
49,5ч,False,590,18,0,False,TEYLKT+DejaVuSans,True,438,27,2,10,-0.8926156
50,12мин,False,624,18,3,False,TEYLKT+DejaVuSans,True,438,65,8,10,-0.67356426
51,ПАСПОРТ,False,303,18,0,False,TEYLKT+DejaVuSans,True,269,87,7,10,-0.3917645
52,2202,False,303,18,0,True,TPAYAN+DejaVuSans-Bold,False,292,50,4,10,0.38225165
53,123456,False,360,18,5,True,TPAYAN+DejaVuSans-Bold,False,292,75,11,10,0.5526376
