,text,is_italic,x_top_left,font_size,start,is_bold,font_name,is_normal,y_top_left,width,end,height,w2v
30,17:16,False,302,18,0,True,CQXQMP+DejaVuSans-Bold,False,438,57,5,10,-0.13204767
31,01,False,365,18,6,True,CQXQMP+DejaVuSans-Bold,False,438,25,8,10,-0.050869953
32,июня,False,397,18,9,True,CQXQMP+DejaVuSans-Bold,False,438,54,13,10,0.28796434
33,2024,False,457,18,14,True,CQXQMP+DejaVuSans-Bold,False,438,50,18,10,-0.72016287
34,а/пУлан-Удэ,False,302,18,0,False,DLKNJL+DejaVuSans,True,461,119,11,10,-0.83289045
35,UUE,False,427,18,12,False,DLKNJL+DejaVuSans,True,461,37,15,10,-0.22389282
36,Терминал,False,302,18,0,False,DLKNJL+DejaVuSans,True,483,92,8,10,0.0582532
37,8,False,401,18,9,False,DLKNJL+DejaVuSans,True,483,11,10,10,-0.7180069
38,ПРИБЫТИЕ,False,739,18,0,False,NSLGZB+DejaVuSans,True,394,101,8,10,-0.31172508
39,Иркутск,False,739,18,0,False,NSLGZB+DejaVuSans,True,416,77,7,10,-0.37899145
40,18:16,False,739,18,0,True,CQXQMP+DejaVuSans-Bold,False,439,57,5,10,0.5639591
41,01,False,803,18,6,True,ZRQZTP+DejaVuSans-Bold,False,439,25,8,10,-0.050869953
42,июня,False,834,18,9,True,CQXQMP+DejaVuSans-Bold,False,439,54,13,10,0.28796434
43,2024,False,894,18,14,True,CQXQMP+DejaVuSans-Bold,False,439,50,18,10,-0.72016287
44,а/пИркутск,False,739,18,0,False,DLKNJL+DejaVuSans,True,461,112,10,10,-0.49558407
45,IKT,False,857,18,11,False,DLKNJL+DejaVuSans,True,461,26,14,10,0.06410162
46,Терминал,False,739,18,0,False,DLKNJL+DejaVuSans,True,484,92,8,10,0.0582532
47,B,False,838,18,9,False,DLKNJL+DejaVuSans,True,484,12,10,10,0.019876193
48,ВПУТИ,False,590,18,0,False,NSLGZB+DejaVuSans,True,393,66,5,10,0.8442697
49,1ч,False,590,18,0,False,NSLGZB+DejaVuSans,True,438,27,2,10,0.40789887
50,30мин,False,624,18,3,False,NSLGZB+DejaVuSans,True,438,65,8,10,-0.44477314
51,ПАСПОРТ,False,303,18,0,False,NSLGZB+DejaVuSans,True,269,87,7,10,-0.3917645
52,2222,False,303,18,0,True,CQXQMP+DejaVuSans-Bold,False,292,50,4,10,-0.6415391
53,777777,False,360,18,5,True,CQXQMP+DejaVuSans-Bold,False,292,75,11,10,0.5354623
